run_id,learning_rate,gamma,n_steps,ent_coef,gae_lambda,vf_coef,avg_reward,std_reward,avg_length,grazing_balance_mean
1,0.0007,0.95,5,0.0,0.95,0.5,225.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
2,0.0007,0.95,5,0.0,0.95,0.7,210.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
3,0.0007,0.95,5,0.0,0.9,0.5,230.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
4,0.0007,0.95,5,0.0,0.9,0.7,225.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
5,0.0007,0.95,5,0.01,0.95,0.5,265.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
6,0.0007,0.95,5,0.01,0.95,0.7,265.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
7,0.0007,0.95,5,0.01,0.9,0.5,265.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
8,0.0007,0.95,5,0.01,0.9,0.7,265.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
9,0.0007,0.95,10,0.0,0.95,0.5,185.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
10,0.0007,0.95,10,0.0,0.95,0.7,245.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
11,0.0007,0.95,10,0.0,0.9,0.5,210.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
12,0.0007,0.95,10,0.0,0.9,0.7,265.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
13,0.0007,0.95,10,0.01,0.95,0.5,265.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
14,0.0007,0.95,10,0.01,0.95,0.7,245.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
15,0.0007,0.95,10,0.01,0.9,0.5,245.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
16,0.0007,0.95,10,0.01,0.9,0.7,245.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
17,0.0007,0.95,20,0.0,0.95,0.5,245.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
18,0.0007,0.95,20,0.0,0.95,0.7,245.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
19,0.0007,0.95,20,0.0,0.9,0.5,245.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
20,0.0007,0.95,20,0.0,0.9,0.7,165.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
21,0.0007,0.95,20,0.01,0.95,0.5,245.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
22,0.0007,0.95,20,0.01,0.95,0.7,245.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
23,0.0007,0.95,20,0.01,0.9,0.5,210.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
24,0.0007,0.95,20,0.01,0.9,0.7,170.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
25,0.0007,0.99,5,0.0,0.95,0.5,45.0,0.0,30.0,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
