run_id,timestamp,params,avg_reward,std_reward,avg_length,mean_hunger,mean_thirst,grazing_balance,action_counts,best,time_sec
1,2025-11-24 11:22:56,"{'learning_rate': 0.0007, 'gamma': 0.99, 'n_steps': 5, 'gae_lambda': 0.95, 'vf_coef': 0.25, 'ent_coef': 0.0}",375.1135309043524,10.779090823972869,45.0,0.046618112007776914,0.5278222222222232,"[0.32916666666666666, 0.33541666666666664, 0.33541666666666664]",54|54|57|3|57,yes,492.0
2,2025-11-24 11:31:01,"{'learning_rate': 0.0007, 'gamma': 0.99, 'n_steps': 5, 'gae_lambda': 0.95, 'vf_coef': 0.25, 'ent_coef': 0.01}",394.28189892232393,1.421951215724543,45.0,0.048810564008686295,0.47240000000000065,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|57|53|0|60,yes,484.9
3,2025-11-24 11:38:54,"{'learning_rate': 0.0007, 'gamma': 0.99, 'n_steps': 5, 'gae_lambda': 0.95, 'vf_coef': 0.5, 'ent_coef': 0.0}",388.3626663479207,9.232583753052456,45.0,0.054879422061973174,0.42400000000000027,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,473.1
4,2025-11-24 11:47:01,"{'learning_rate': 0.0007, 'gamma': 0.99, 'n_steps': 5, 'gae_lambda': 0.95, 'vf_coef': 0.5, 'ent_coef': 0.01}",380.3372484403846,4.418752650419547,45.0,0.04488567665351763,0.5252000000000011,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,487.2
5,2025-11-24 11:53:39,"{'learning_rate': 0.0007, 'gamma': 0.99, 'n_steps': 10, 'gae_lambda': 0.95, 'vf_coef': 0.25, 'ent_coef': 0.0}",387.44058867067076,8.13839820521913,45.0,0.0442950375629796,0.4650666666666673,"[0.33939393939393936, 0.3333333333333333, 0.32727272727272727]",56|55|54|0|60,,397.5
6,2025-11-24 12:00:15,"{'learning_rate': 0.0007, 'gamma': 0.99, 'n_steps': 10, 'gae_lambda': 0.95, 'vf_coef': 0.25, 'ent_coef': 0.01}",394.6841561961172,4.421421465503272,45.0,0.044304006871249954,0.48706666666666754,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|56|54|0|60,yes,396.3
7,2025-11-24 12:06:40,"{'learning_rate': 0.0007, 'gamma': 0.99, 'n_steps': 10, 'gae_lambda': 0.95, 'vf_coef': 0.5, 'ent_coef': 0.0}",344.9715647476909,31.165097322658394,45.0,0.0452102975782421,0.5120000000000011,"[0.35151515151515145, 0.3151515151515151, 0.3333333333333333]",56|54|55|0|60,,384.9
8,2025-11-24 12:13:03,"{'learning_rate': 0.0007, 'gamma': 0.99, 'n_steps': 10, 'gae_lambda': 0.95, 'vf_coef': 0.5, 'ent_coef': 0.01}",372.50630142271496,21.962120809744764,45.0,0.044789608338806366,0.49000000000000093,"[0.33137254901960783, 0.3372549019607843, 0.33137254901960783]",55|55|55|0|60,,382.6
9,2025-11-24 12:21:26,"{'learning_rate': 0.0007, 'gamma': 0.95, 'n_steps': 5, 'gae_lambda': 0.95, 'vf_coef': 0.25, 'ent_coef': 0.0}",385.3823726242779,11.944555030941167,45.0,0.04605115789439944,0.40786666666666715,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,502.9
10,2025-11-24 12:29:38,"{'learning_rate': 0.0007, 'gamma': 0.95, 'n_steps': 5, 'gae_lambda': 0.95, 'vf_coef': 0.25, 'ent_coef': 0.01}",391.48919860839817,4.157145103956258,45.0,0.04451690966486931,0.45333333333333387,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,492.6
