run_id,learning_rate,gamma,batch_size,buffer_size,train_freq,target_update_interval,exploration_fraction,exploration_initial_eps,exploration_final_eps,avg_reward,std_reward,avg_length,grazing_balance_mean
1,0.001,0.95,32,5000,4,1000,0.2,1.0,0.05,265.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
2,0.001,0.95,32,5000,4,1000,0.4,1.0,0.05,205.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
3,0.001,0.95,32,5000,4,2000,0.2,1.0,0.05,165.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
4,0.001,0.95,32,5000,4,2000,0.4,1.0,0.05,250.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
5,0.001,0.95,32,20000,4,1000,0.2,1.0,0.05,225.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
6,0.001,0.95,32,20000,4,1000,0.4,1.0,0.05,225.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
7,0.001,0.95,32,20000,4,2000,0.2,1.0,0.05,145.0,0.0,16.0,"[0.5, 0.25, 0.25]"
8,0.001,0.95,32,20000,4,2000,0.4,1.0,0.05,145.0,0.0,16.0,"[0.25, 0.5, 0.25]"
9,0.001,0.95,64,5000,4,1000,0.2,1.0,0.05,265.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
10,0.001,0.95,64,5000,4,1000,0.4,1.0,0.05,265.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
11,0.001,0.95,64,5000,4,2000,0.2,1.0,0.05,245.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
12,0.001,0.95,64,5000,4,2000,0.4,1.0,0.05,250.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
13,0.001,0.95,64,20000,4,1000,0.2,1.0,0.05,265.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
14,0.001,0.95,64,20000,4,1000,0.4,1.0,0.05,225.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
15,0.001,0.95,64,20000,4,2000,0.2,1.0,0.05,210.0,0.0,30.0,"[0.26666666666666666, 0.4333333333333334, 0.3]"
16,0.001,0.95,64,20000,4,2000,0.4,1.0,0.05,220.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
17,0.001,0.99,32,5000,4,1000,0.2,1.0,0.05,265.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
18,0.001,0.99,32,5000,4,1000,0.4,1.0,0.05,145.0,0.0,25.0,"[0.52, 0.24, 0.24]"
19,0.001,0.99,32,5000,4,2000,0.2,1.0,0.05,300.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
20,0.001,0.99,32,5000,4,2000,0.4,1.0,0.05,230.0,0.0,30.0,"[0.5, 0.26666666666666666, 0.23333333333333334]"
21,0.001,0.99,32,20000,4,1000,0.2,1.0,0.05,245.0,0.0,30.0,"[0.5, 0.23333333333333334, 0.26666666666666666]"
22,0.001,0.99,32,20000,4,1000,0.4,1.0,0.05,155.0,0.0,28.0,"[0.39285714285714285, 0.39285714285714285, 0.21428571428571427]"
23,0.001,0.99,32,20000,4,2000,0.2,1.0,0.05,85.0,0.0,13.0,"[0.23076923076923078, 0.5384615384615384, 0.23076923076923078]"
24,0.001,0.99,32,20000,4,2000,0.4,1.0,0.05,50.0,0.0,11.0,"[0.6363636363636364, 0.18181818181818182, 0.18181818181818182]"
25,0.001,0.99,64,5000,4,1000,0.2,1.0,0.05,185.0,0.0,30.0,"[0.26666666666666666, 0.23333333333333334, 0.5]"
26,0.001,0.99,64,5000,4,1000,0.4,1.0,0.05,280.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
27,0.001,0.99,64,5000,4,2000,0.2,1.0,0.05,250.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
28,0.001,0.99,64,5000,4,2000,0.4,1.0,0.05,135.0,0.0,19.0,"[0.5263157894736842, 0.21052631578947367, 0.2631578947368421]"
29,0.001,0.99,64,20000,4,1000,0.2,1.0,0.05,105.0,0.0,13.0,"[0.23076923076923078, 0.5384615384615384, 0.23076923076923078]"
30,0.001,0.99,64,20000,4,1000,0.4,1.0,0.05,85.0,0.0,13.0,"[0.23076923076923078, 0.5384615384615384, 0.23076923076923078]"
31,0.001,0.99,64,20000,4,2000,0.2,1.0,0.05,295.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
32,0.001,0.99,64,20000,4,2000,0.4,1.0,0.05,70.0,0.0,14.0,"[0.21428571428571427, 0.21428571428571427, 0.5714285714285714]"
33,0.0005,0.95,32,5000,4,1000,0.2,1.0,0.05,265.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
34,0.0005,0.95,32,5000,4,1000,0.4,1.0,0.05,265.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
35,0.0005,0.95,32,5000,4,2000,0.2,1.0,0.05,245.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
36,0.0005,0.95,32,5000,4,2000,0.4,1.0,0.05,215.0,0.0,30.0,"[0.5, 0.26666666666666666, 0.23333333333333334]"
37,0.0005,0.95,32,20000,4,1000,0.2,1.0,0.05,265.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
38,0.0005,0.95,32,20000,4,1000,0.4,1.0,0.05,265.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
39,0.0005,0.95,32,20000,4,2000,0.2,1.0,0.05,245.0,0.0,30.0,"[0.5, 0.26666666666666666, 0.23333333333333334]"
40,0.0005,0.95,32,20000,4,2000,0.4,1.0,0.05,265.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
41,0.0005,0.95,64,5000,4,1000,0.2,1.0,0.05,250.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
42,0.0005,0.95,64,5000,4,1000,0.4,1.0,0.05,225.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
43,0.0005,0.95,64,5000,4,2000,0.2,1.0,0.05,245.0,0.0,30.0,"[0.5, 0.23333333333333334, 0.26666666666666666]"
