run_id,timestamp,params,avg_reward,std_reward,avg_length,mean_hunger,mean_thirst,grazing_balance,action_counts,best,time_sec
1,2025-11-24 11:13:58,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 1024, 'batch_size': 64, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.0, 'vf_coef': 0.5}",402.9088878107069,3.5705228283036115,45.0,0.05224999570780331,0.3506666666666668,"[0.32727272727272727, 0.3333333333333333, 0.33939393939393936]",55|55|55|0|60,yes,443.6
2,2025-11-24 11:21:05,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 1024, 'batch_size': 64, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01, 'vf_coef': 0.5}",401.03154894202925,2.1578217342870087,45.0,0.04986322267883355,0.37853333333333355,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,427.4
3,2025-11-24 11:28:13,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 1024, 'batch_size': 64, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.0, 'vf_coef': 0.5}",404.3866794115303,3.054563663619074,45.0,0.05311141162249779,0.35506666666666675,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,yes,428.1
4,2025-11-24 11:35:20,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 1024, 'batch_size': 64, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.01, 'vf_coef': 0.5}",405.92274997353536,3.3534619307201083,45.0,0.05189418062567712,0.35946666666666693,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,yes,426.6
5,2025-11-24 11:42:28,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 1024, 'batch_size': 64, 'gae_lambda': 0.9, 'clip_range': 0.2, 'ent_coef': 0.0, 'vf_coef': 0.5}",387.83015896558743,10.593149421211333,45.0,0.04430487457050219,0.46800000000000075,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",54|56|55|0|60,,427.9
6,2025-11-24 11:49:34,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 1024, 'batch_size': 64, 'gae_lambda': 0.9, 'clip_range': 0.2, 'ent_coef': 0.01, 'vf_coef': 0.5}",382.73404473185525,4.3631583176565005,45.0,0.04712195958958733,0.4680000000000006,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,425.9
7,2025-11-24 11:56:42,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 1024, 'batch_size': 64, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.0, 'vf_coef': 0.5}",392.1644766199587,3.6844057780674127,45.0,0.04482000367508996,0.44160000000000055,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,428.0
8,2025-11-24 12:03:47,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 1024, 'batch_size': 64, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.01, 'vf_coef': 0.5}",389.0001485562322,5.125462181049395,45.0,0.04439703571465281,0.4577333333333339,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,,425.8
9,2025-11-24 12:09:46,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 1024, 'batch_size': 128, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.0, 'vf_coef': 0.5}",400.82337885916206,6.2405443517604935,45.0,0.05507256217400234,0.29493333333333344,"[0.3333333333333333, 0.33939393939393936, 0.32727272727272727]",55|55|55|0|60,,358.7
10,2025-11-24 12:15:45,"{'learning_rate': 0.0003, 'gamma': 0.99, 'n_steps': 1024, 'batch_size': 128, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01, 'vf_coef': 0.5}",407.0039813959596,3.6132181507831347,45.0,0.05887146615518467,0.2658666666666666,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",55|55|55|0|60,yes,359.0
