run_id,learning_rate,gamma,hidden_size,entropy_coef,avg_reward,std_reward,avg_length,grazing_balance_mean
1,0.001,0.95,64,0.0,275.0,0.0,30.0,"[0.3, 0.3, 0.4]"
2,0.001,0.95,64,0.01,160.0,0.0,30.0,"[0.3333333333333333, 0.3, 0.36666666666666664]"
3,0.001,0.95,128,0.0,-55.0,0.0,5.0,"[0.0, 0.0, 1.0]"
4,0.001,0.95,128,0.01,195.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
1,0.001,0.95,64,0.0,310.0,0.0,30.0,"[0.4, 0.3, 0.3]"
5,0.001,0.99,64,0.0,250.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
6,0.001,0.99,64,0.01,-55.0,0.0,5.0,"[1.0, 0.0, 0.0]"
7,0.001,0.99,128,0.0,-55.0,0.0,5.0,"[1.0, 0.0, 0.0]"
8,0.001,0.99,128,0.01,95.0,0.0,17.0,"[0.23529411764705882, 0.5294117647058824, 0.23529411764705882]"
9,0.0005,0.95,64,0.0,300.0,0.0,30.0,"[0.3, 0.4333333333333334, 0.26666666666666666]"
2,0.001,0.95,64,0.01,-55.0,0.0,30.0,"[0.16666666666666666, 0.4, 0.4333333333333334]"
10,0.0005,0.95,64,0.01,295.0,0.0,30.0,"[0.3, 0.3, 0.4]"
3,0.001,0.95,128,0.0,-30.0,0.0,7.0,"[0.8571428571428571, 0.14285714285714285, 0.0]"
11,0.0005,0.95,128,0.0,280.0,0.0,30.0,"[0.4, 0.3, 0.3]"
612,0.0005,0.95,128,0.01,315.0,0.0,30.0,"[0.3, 0.4, 0.3]"
13,0.0005,0.99,64,0.0,265.0,0.0,30.0,"[0.26666666666666666, 0.4333333333333334, 0.3]"
4,0.001,0.95,128,0.01,190.0,0.0,30.0,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
5,0.001,0.99,64,0.0,245.0,0.0,30.0,"[0.26666666666666666, 0.4333333333333334, 0.3]"
6,0.001,0.99,64,0.01,-55.0,0.0,5.0,"[0.0, 1.0, 0.0]"
7,0.001,0.99,128,0.0,-55.0,0.0,5.0,"[0.0, 1.0, 0.0]"
8,0.001,0.99,128,0.01,-55.0,0.0,5.0,"[0.0, 0.0, 1.0]"
9,0.0005,0.95,64,0.0,295.0,0.0,30.0,"[0.4, 0.3, 0.3]"
10,0.0005,0.95,64,0.01,-30.0,0.0,7.0,"[0.14285714285714285, 0.8571428571428571, 0.0]"
11,0.0005,0.95,128,0.0,-55.0,0.0,5.0,"[0.0, 0.0, 1.0]"

12,0.0005,0.95,128,0.01,335.0,0.0,30.0,"[0.26666666666666666, 0.4333333333333334, 0.3]"
13,0.0005,0.99,64,0.0,245.0,0.0,30.0,"[0.3, 0.26666666666666666, 0.4333333333333334]"
14,0.0005,0.99,64,0.01,245.0,0.0,30.0,"[0.3, 0.4333333333333334, 0.26666666666666666]"
15,0.0005,0.99,128,0.0,300.0,0.0,30.0,"[0.3, 0.4333333333333334, 0.26666666666666666]"
16,0.0005,0.99,128,0.01,265.0,0.0,30.0,"[0.3333333333333333, 0.26666666666666666, 0.4]"
